event_date,event_name,category,region,avg_price_before,avg_price_after,price_change_pct,volatility_before,volatility_after,description
1990-08-02,Iraq invades Kuwait,Conflict,Middle East,17.375000000000004,27.49636363636363,58.25245258338776,0.02195615168850622,0.05582708288430526,The invasion triggered a major supply shock and a rapid repricing of geopolitical risk.
1997-11-27,OPEC output quota increase,OPEC Policy,Global,19.21142857142857,17.51,-8.856335514574642,0.01945555720910384,0.01643851609992946,OPEC raised production targets ahead of weakening demand during the Asian financial crisis.
1998-12-01,OPEC production cuts,OPEC Policy,Global,11.039047619047619,9.824285714285711,-11.004227417824199,0.028730772139780467,0.041389747652099525,OPEC and major producers coordinated output cuts after a steep oil price decline.
2001-09-11,September 11 attacks,Geopolitical Shock,United States,26.100952380952382,23.52565217391304,-9.866690569186702,0.015747022745616474,0.05109577367069123,The attacks intensified macro uncertainty and altered expectations for transport fuel demand.
2003-03-20,US-led invasion of Iraq,Conflict,Middle East,33.04590909090909,26.05636363636364,-21.15101580445936,0.025145278767901808,0.03334659663027043,The Iraq war increased uncertainty around Middle East supply and export continuity.
2008-09-15,Global financial crisis intensifies,Macroeconomic Shock,Global,106.39263157894737,88.34347826086956,-16.964664798881916,0.029499951572852626,0.04186179966263647,Lehman Brothers collapsed and recession fears drove a severe demand outlook revision.
2010-12-17,Arab Spring begins,Political Upheaval,Middle East and North Africa,87.59238095238095,94.37999999999998,7.749097551428679,0.010661230121564112,0.011656379643233366,Regional instability reshaped expectations for oil supply resilience across North Africa and the Middle East.
2011-02-15,Libyan civil war escalates,Conflict,North Africa,98.84450000000001,111.22454545454544,12.524769162214817,0.012339873725873323,0.02108624996436143,Libyan production outages tightened supply expectations in light sweet crude markets.
2014-11-27,OPEC keeps output unchanged,OPEC Policy,Global,80.88999999999999,63.7265,-21.218321176906898,0.015173996688578746,0.0202295539063534,"OPEC maintained output despite falling prices, accelerating the 2014 to 2015 oil market slide."
2016-11-30,OPEC+ agrees coordinated cuts,OPEC Policy,Global,44.654545454545456,53.05333333333333,18.808360477741566,0.024924854544424033,0.029629404163374184,OPEC and partners announced production cuts to stabilize the market after prolonged weakness.
2018-11-05,US sanctions on Iran reimposed,Sanctions,Middle East,78.94449999999998,63.690869565217405,-19.32196724886797,0.014300875330757384,0.025821769893327497,Sanctions constrained Iranian oil exports and altered supply expectations.
2020-03-06,OPEC+ talks collapse,Price War,Global,55.184090909090905,26.950952380952383,-51.161735317247846,0.02351662183568766,0.13407815958077055,"OPEC+ failed to agree on cuts, triggering a price war and sharp market selloff."
2020-04-20,COVID-19 demand shock,Crisis,Global,21.57111111111111,22.39681818181818,3.827837455631819,0.1371193249566015,0.18265179425494799,Pandemic lockdowns and storage stress drove extreme dislocations across global oil markets.
2021-11-26,Omicron demand fears,Crisis,Global,82.59772727272728,73.31761904761905,-11.235306989097277,0.018379676993863336,0.03516536836484132,The Omicron variant renewed concerns about travel restrictions and weaker oil demand.
2022-02-24,Russia invades Ukraine,Conflict,Europe and Global,95.2218181818182,115.88181818181819,21.696708164668138,0.01940242695719044,0.05366632863498122,The invasion disrupted energy trade expectations and sharply raised geopolitical risk premia.
